Case Number,Case Type,Law Firm,Date,Status,Reference Number,View Options
2023/177933,Commercial execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,30-05-2023,Case Filed,"2023/3879 Execution, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/177111,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,30-05-2023,The Application Has Been Executed,2023/5355 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/176853,Order on petition-Personal Status case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,30-05-2023,The Application Has Been Executed,"2023/1783 Order on petition, Sharia","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/176170,Cheques Execution,سهاد الجبوري للمحاماة والإستشارات القانونية,29-05-2023,The Application Has Been Executed,2023/11201 Cheques Execution,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/173575,Commercial Oppositions case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,26-05-2023,The Application Has Been Executed,"2023/53 Problems, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/173518,Commercial Summary lawsuits case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,26-05-2023,Case Filed,"2023/28 Summary actions, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/172672,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,25-05-2023,The Application Has Been Executed,2023/321 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/172465,Labor execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,25-05-2023,Case Filed,"2023/4043 Execution, labor","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/172374,Commercial Order on petition case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,25-05-2023,The Application Has Been Executed,"2023/109 Order on petition, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/172132,Civil Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,25-05-2023,Case Filed,"2023/270 Objection, civil","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/171693,Payment order case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,25-05-2023,The Application Has Been Executed,2023/1113 Performance order,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/168777,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-05-2023,Case Filed,"2023/527 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/168755,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-05-2023,Case Filed,"2023/530 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/168361,Commercial Arrestation case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,23-05-2023,The Application Has Been Executed,"2023/224 Provisional attachment, commercial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/168172,Grievance on commercial  execution,سهاد الجبوري للمحاماة والإستشارات القانونية,23-05-2023,The Application Has Been Executed,2023/121 Grievance on commercial  execution,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/167203,Commercial Banks Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,22-05-2023,The Application Has Been Executed,2023/375 Commercial Banks,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/165774,Civil Arrestation case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,22-05-2023,The Application Has Been Executed,"2023/23 Provisional attachment, civil","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/164372,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,19-05-2023,The Application Has Been Executed,2023/300 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/162587,"Petition for review, commercial, appeal case filing",سهاد الجبوري للمحاماة والإستشارات القانونية,18-05-2023,The Application Has Been Executed,"2023/51 Petition for review, commercial, appeal","Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/161379,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,17-05-2023,The Application Has Been Executed,2023/290 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/160988,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,17-05-2023,The Application Has Been Executed,2023/289 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/159956,Expert Appointment,سهاد الجبوري للمحاماة والإستشارات القانونية,16-05-2023,The Application Has Been Executed,2023/370 Expert Appointment,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/159248,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,16-05-2023,The Application Has Been Executed,2023/556 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2023/157886,Non-Muslims conjugal cases case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,15-05-2023,Case Filed,2023/397 Marital matters for non-Muslims,"Choose View Option
    View the application
    View the case"
2023/157869,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,15-05-2023,Case Filed,"2023/424 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
